Situation,Arabic,Transliteration,English
"Greetings","مَرحَبا","marHaba","Hellofunctional"
"Greetings","هَلَا","hala","Hi"
"Greetings","أهلاً وَ سَهلاً","ahlan wa sahlan","Welcome"
"Greetings","أهلاً فيك","ahlan feek","Welcome to you too!"
"Greetings","السَلامُ عَلَيكُم","is-salamoo 3alaykoom","Hello (formal)"
"Greetings","و عَلَيكُم السَلام","w 3alaykoom is-salam","Reply (formal)"
"Greetings","إشتَقتِلَك","ishtaqtilak","I missed you"
"Greetings","زَمان عَنَّك!","zaman 3annak!","It's been a while!"
"Greetings","صَباح الخير","SabaH il-kheer","Good morning"
"Greetings","صَباح النّور","SabaH in-nnoor","Good morning (reply)"
"Greetings","مَساء الخير","masa2 il-kheer","Good evening"
"Greetings","مَساء النّور","masa2 in-nnoor","Good evening (reply)"
"Greetings","شو إسمَك؟","shoo ismak?","What's your name"
"Greetings","أنا إسمي ...","ana ismee","My name is ..."
"Greetings","مِن وَين إنت؟","min wayn int?","Where are you from?"
"Greetings","أنا مِن ...","ana min","I'm from ...32 options"
"Greetings","قَدَيش عُمرَك؟","qadaysh 3oomrak?","How old are you?"
"Greetings","أنا عُمري ...","ana 3oomree","My age is ..."
"Greetings","تُصبَح عَلَى خير","tooSbaH 3alaa kheer","Good night"
"Greetings","تلاقي خير","tlaqee kheer","Good night (reply)"
"Greetings","مَع السَلامة","ma3 is-salama","Good bye"
"Greetings","أللَّه مَعَك","alllah ma3ak","Goodbye (reply)"
"Greetings","خاترَك","khatrak","Good bye (formal)"
"Greetings","تشَرَفنا","tsharafna","Nice to meet you"
"Greetings","دير بالَك","deer balak","Take care"
"General","آه","aah","Yes Functional"
"General","لا","la","No Functional"
"General","لَو سمَحت","law smaHt","Please"
"General","شُكراً","shookran","Thank you Functional"
"General","يسلَم إيديك","yslam ieedeek","Thank you (bless your hands)"
"General","العَفو","il-3afoo","You're welcome"
"General","عَفواً","3afooan","Excuse me"
"General","آسِف","aasif","Sorry"
"General","تَعال هون","ta3al hoon","Come here"
"General","إبعِد مِن هون","ib3id min hoon","Go away"
"General","بتَحكي إنغليزي؟","btaHkee inghleezee?","Do you speak English?"
"General","أنا بَحكي عَربي","ana baHkee 3arbee","I speak Arabic"
"General","أنا ما بَحكي عَربي منيح","ana ma baHkee 3arbee mneeH","I don't speak Arabic well"
"General","شوَي","shway","A little Adjective"
"General","كتير","kteer","A lot Adjective"
"General","فهِمت؟","fhimt?","Did you understand?"
"General","اه أنا فهِمت","ah ana fhimt","Yes I understand"
"General","لا أنا ما فهِمت","la ana ma fhimt","No I didn't understand"
"General","إحكي شوَي شوَي","iHkee shway shway","Speak slowly"
"General","مُمكِن تعِيدها","moomkin t3idha","Can you repeat that?"
"General","مُمكِن تُكتُبه؟","moomkin tooktoobh?","Can you write that down?"
"General","في حَدا بيَحكي إنغليزي هون؟","fee Hada byaHkee inghleezee hoon?","Is there someone here who speaks English?"
"About Me","أنا إسمي ...","ana ismee","My name is ..."
"About Me","أنا مِن ...","ana min","I'm from ... 32 options"
"About Me","أنا ساكِن في ...","ana sakin fee","I live in ... 32 options"
"About Me","أنا عُمري ...","ana 3oomree","My age is ... 8 options"
"About Me","أنا بَشتَغِل ...","ana bashtaghil","I work as a ... 10 options"
"About Me","أنا بُدرُس","ana boodroos","I study ..."
"About Me","أنا دَرَست ...","ana darast","I studied ..."
"About Me","أنا بَحِبّ","ana baHibb","I like ..."
"About Me","أنا إنوَلَدت في ...","ana inwaladt fee","I was born in ... 32 options"
"About Me","أنا عِندي ... إخوة و ... خَوات","ana 3indee ikhooa w khawat","I have ... brothers and ... sisters 12 options"
"About Me","أنا هِوايَتي ...","ana hiooayatee","My hobby is ..."
"About Me","الأكل المُفَضَّل هوَّ ...","il-akl il-moofaDDal hooooa","My favourite food is ..."
"About Me","أنا بَحكي ...","ana baHkee","I can speak ..."
"About Me","أنا عِندي ...","ana 3indee","I have got ..."
"About Me","أنا ...","ana","I am ... (physical appearance)"
"About Me","أنا ...","ana","I am ... (religion) 4 options"
"About Me","أنا ...","ana","I am ... (personality) 15 options"
"About Me","مُسلِم","mooslim","Muslim Noun"
"About Me","مَسيحي","maseeHee","Christian Noun"
"About Me","يَهودي","yahoodee","Jewish Noun"
"About Me","بِلا دين","bila deen","Atheist"
"About Me","نَشيط","nasheeT","Energetic Adjective"
"About Me","كَسول","kasool","Lazy"
"About Me","أمين","ameen","Faithful Adjective"
"About Me","مِزاجِيّ","mizaji","Moody Adjective"
"About Me","إجتِماعي","ijtima3ee","Sociable Adjective"
"About Me","هادي","hadee","Quiet Functional"
"About Me","مَوهوب","mawhoob","Talented Adjective"
"About Me","كَريم","kareem","Generous Adjective"
"About Me","أناني","ananee","Selfish Adjective"
"About Me","مِتسامِح","mitsamiH","Tolerant Adjective"
"About Me","مُحافِظ","mooHafiZ","Conservative Noun"
"About Me","عَنيد","3aneed","Stubborn Adjective"
"About Me","حَكيم","Hakeem","Wise Adjective"
"About Me","شُجاع","shooja3","Brave Adjective"
"About Me","جَبّان","jabban","Cowardly Adjective"
"Conversation","كيف حالَك؟","keef Halak?","How are you?"
"Conversation","أنا ...","ana","I'm ... 6 options"
"Conversation","و إنتَ؟","w inta?","And you?"
"Conversation","شو عِمِلت اليوم؟","shoo 3imilt il-eeoom?","What did you do today?"
"Conversation","شو الأخبار؟","shoo il-akhbar?","What's new?"
"Conversation","منِيح","mniH","Good Adjective"
"Conversation","تَمام","tamam","Ok"
"Conversation","سَيء","say2","Bad Adjective"
"Conversation","مَبسُوط","mabsooT","Happy Adjective"
"Conversation","زَعلان","za3lan","Unhappy Adjective"
"Conversation","شو الأخبار؟","shoo il-akhbar?","What's new?"
