dictionary_id,arabic,our_arabic,our_romanization,english,our_english,our_pos,our_category,sources,rank,page,situation,match
500,كان,كَان,kaan,To be,was / to be (past),Verb,Common Verbs,words,1,1,,exact
313,إشي,إِشِي,ishi,thing,something / thing,Noun,Pronouns,words,2,1,,exact
401,آه,إِي,ee,Yes,yes,Particle,Particles,words+phrases,3,1,General,english-only
73,كتير,كْتِير,kteer,A lot,very / a lot / much,Adverb,Adverbs,words+phrases,4,1,General,exact
501,صار,صَار,saar,To happen / become,became / happened,Verb,Common Verbs,words,5,1,,exact
1378,كَلب,كَلِب,kalib,Dog,dog,Noun,Animals,words,6,1,,exact
404,نَعَم,نَعَم,na3am,Yes (formal),yes (formal),Particle,Particles,words,7,1,,exact
75,شوَي,شْوَيّ,shwayy,A Little,a little / a bit,Adverb,Adverbs,words+phrases,8,1,General,exact
505,عَرِف,عِرِف,3irif,To know,knew,Verb,Common Verbs,words,9,1,,exact
403,لا,لَأ,la',No,no,Particle,Particles,words+phrases,11,1,General,spelling-mismatch
982,كَبير,كْبِير,kbeer,Big,big / large / old (person),Adjective,Adjectives (Physical),words+phrases,12,1,Dictionary,exact
529,راح,رَاح,raa7,To go,went,Verb,Motion Verbs,words,13,1,,exact
1379,بِسة,بِسَّة,bisse,Cat,cat,Noun,Animals,words,14,1,,exact
263,شُكراً,شُكْرًا,shukran,Thank you,thank you,Phrase,Politeness,words+phrases,15,1,General,exact
983,صغِير,صْغِير,sgheer,Small,small / little / young (person),Adjective,Adjectives (Physical),words+phrases,16,1,Dictionary,exact
532,رَجِع,رِجِع,riji3,To return,returned / came back,Verb,Motion Verbs,words,21,1,,exact
232,مَرحَبا,مَرْحَبَا,mar7aba,Hello,hello / hi,Phrase,Greetings,words+phrases,22,1,Greetings,exact
503,حَكى,حَكَى,7aka,To speak,spoke / said / told,Verb,Common Verbs,words,25,1,,exact
1313,بَعِيد,بَعِيد,ba3eed,Far,far,Adjective,Directions,words+phrases,27,1,Dictionary,exact
504,قال,قَال,aal,To say,said,Verb,Common Verbs,words,28,1,,exact
204,قَرِيب,قَرِيب,areeb,Close,soon,Adverb,Time,words+phrases,30,1,Dictionary,exact
551,خَبَّر,خَبَّر,khabbar,To tell / inform,told / informed,Verb,Communication,words,31,1,,exact
945,هادي,هَادِي,haadi,This (fem.),calm / quiet,Adjective,Personality,words+phrases,32,1,About Me,exact
1463,طَوِيل,طَوِيل,taweel,Tall / long,tall / long,Adjective,Adjectives (Physical),words+phrases,34,1,Dictionary,exact
562,سَمِع,سَمِع,simi3,To listen to / hear,heard,Verb,Communication,words,35,1,,exact
11,هَدُول,هَدُول,hadool,This (plur.),these,Pronoun,Pronouns,words,37,1,,exact
1464,قَصِير,قَصِير,aseer,Short,short (height/length),Adjective,Adjectives (Physical),words+phrases,39,1,Dictionary,exact
506,شاف,شَاف,shaaf,To see,saw / watched,Verb,Common Verbs,words,40,1,,exact
1380,حمار,حْمَار,7maar,Donkey,donkey,Noun,Animals,words,41,1,,exact
549,سَأَل,سَأَل,sa'al,To ask,asked,Verb,Communication,words,42,1,,exact
848,راس,رَاس,raas,Head,head,Noun,Body,words+phrases,43,1,Body Parts,exact
524,رَدّ,رَدّ,radd,To answer / reply,replied / returned (something),Verb,Common Verbs,words,44,1,,exact
550,جاوَب,جَاوَب,jaawab,To reply / answer,answered,Verb,Communication,words,45,1,,exact
1491,قدِيم,قَدِيم,adeem,Old,old (thing),Adjective,Adjectives (Physical),words+phrases,46,1,Dictionary,exact
523,تَذَكَّر,تْذَكَّر,tdhakkar,To remember,remembered,Verb,Common Verbs,words,47,1,,exact
44,وُ,وْ,w / u,And,and,Conjunction,Conjunctions,words+phrases,49,1,Conversation,exact
1490,جدِيد,جَدِيد,jdeed,New,new,Adjective,Adjectives (Physical),words+phrases,50,1,Dictionary,exact
522,نَسِي,نِسِي,nisi,To forget,forgot,Verb,Common Verbs,words,51,1,,exact
1395,أرنَب,أَرْنَب,arnab,Rabbit,rabbit,Noun,Animals,words,52,2,,exact
863,صِدر,صَدِر,sadir,Chest,chest,Noun,Body,words+phrases,53,2,Body Parts,exact
51,وَلا,وَلَّا,walla,Or,or (in questions),Conjunction,Conjunctions,words+phrases,54,2,Conversation,exact
970,ثقِيل,ثَقِيل,tha'eel,Heavy,heavy / annoying (person),Adjective,Personality,words+phrases,55,2,Dictionary,exact
50,أَو,أَوْ,aw,Or (more formal),or,Conjunction,Conjunctions,words,56,2,,exact
521,قَدِر,قِدِر,idir,To be able to,was able to / could,Verb,Common Verbs,words,57,2,,exact
509,حَبّ,حَبّ,7abb,To love,loved / liked,Verb,Common Verbs,words,60,2,,exact
1387,عَصفور,عَصْفُور,3asfoor,Bird,bird / sparrow,Noun,Animals,words,61,2,,exact
850,وِجْه,وِجِه,wijih,Face,face,Noun,Body,words+phrases,62,2,Body Parts,exact
30,مَع,مَعَ,ma3,With,with,Preposition,Prepositions,words+phrases,63,2,Dictionary,exact
1477,بِشَع,قَبِيح,abee7,Ugly,ugly,Adjective,Adjectives (Physical),words,64,2,,english-only
746,سَكَن,سَكَن,sakan,To live / reside,lived / resided,Verb,Common Verbs,words+phrases,65,2,Sightseeing,exact
851,عَين,عَيْن,3ein,Eye,eye,Noun,Body,words+phrases,68,2,Body Parts,exact
