Page,Word,Transliteration,Details
"1","كان","kan","To be"
"1","إشي","ishee","thing"
"1","آه","aah","Yes"
"1","كتير","kteer","A lot"
"1","صار","Sar","To happen / become"
"1","كَلب","kalb","Dog"
"1","نَعَم","na3am","Yes (formal)"
"1","شوَي","shway","A Little"
"1","عَرِف","3arif","To know"
"1","سَوَّى","sawwaa","To do"
"1","لا","la","No"
"1","كَبير","kabeer","Big"
"1","راح","raH","To go"
"1","بِسة","bisa","Cat"
"1","شُكراً","shookran","Thank you"
"1","صغِير","Sghir","Small"
"1","إِجى","ija","To come"
"1","لا","la","شُكراًNo thank you"
"1","شُكراً","shookran","لا No thank you"
"1","كَبِير","kabir","Old"
"1","رَجِع","raji3","To return"
"1","مَرحَبا","marHaba","Hello"
"1","يا","ya","You (comes before someone's name)"
"1","صغِير","Sghir","Young"
"1","حَكى","Haka","To speak"
"1","أهلاً","ahlan","Hi"
"1","بَعِيد","ba3id","Far"
"1","قال","qal","To say"
"1","هادا","hada","This"
"1","قَرِيب","qarib","Close"
"1","خَبَّر","khabbar","To tell / inform"
"1","هادي","hadee","This (fem.)"
"1","عالي","3alee","High"
"1","طَوِيل","Tawil","Tall / long"
"1","سَمِع","sami3","To listen to / hear"
"1","جِسم","jism","Body"
"1","هَدُول","hadool","This (plur.)"
"1","واطي","waTee","Low"
"1","قَصِير","qaSir","Short"
"1","شاف","shaf","To see"
"1","حمار","Hmar","Donkey"
"1","سَأَل","saal","To ask"
"1","راس","ras","Head"
"1","رَدّ","radd","To answer / reply"
"1","جاوَب","jawab","To reply / answer"
"1","قدِيم","qdim","Old"
"1","تَذَكَّر","tadhakkar","To remember"
"1","خَنزير","khanzeer","Pig"
"1","وُ","woo","And"
"1","جدِيد","jdid","New"
"1","نَسِي","nasi","To forget"
"2","أرنَب","arnab","Rabbit"
"2","صِدر","Sidr","Chest"
"2","وَلا","wala","Or"
"2","ثقِيل","thqil","Heavy"
"2","أَو","aw","Or (more formal)"
"2","قَدِر","qadir","To be able to"
"2","بَطّة","baTTa","Duck"
"2","وَلّا","walla","Neither / nor"
"2","حَبّ","Habb","To love"
"2","عَصفور","3aSfoor","Bird"
"2","وِجْه","wijh","Face"
"2","مَع","ma3","With"
"2","بِشَع","bisha3","Ugly"
"2","سَكَن","sakan","To live / reside"
"2","عاش","3ash","To live"
"2","مات","mat","To die"
"2","عَين","3ayn","Eye"
"2","حَلو","Haloo","Beautiful"
"2","أَعْطى","a3Ta","To give"
"2","أَخَذ","akhadh","To take"
"2","حَطّ","HaTT","To put"
"2","ضَعِيف","Da3if","Skinny / Weak"
"2","مَنخار","mankhar","Nose"
"2","ناصِح","naSiH","Fat"
"2","جاب","jab","To bring"
"2","أُذن","oodhn","Ear"
"2","أكَل","akal","To eat"
"2","ثِم","thim","Mouth"
"2","شَرِب","sharib","To drink"
"2","قَرَأ","qaraa","To read"
"2","أسَد","asad","Lion"
"2","كَتَب","katab","To write"
"2","سِن","sin","Tooth"
"2","دَرَس","daras","To study"
"2","تَعَلَّم","ta3allam","To learn"
"2","قِرد","qird","Monkey"
"2","اعْتَقَد","a3taqad","To think / believe"
"2","حَيّة","Hayya","Snake"
"2","فَكَّر","fakkar","To think (about)"
"2","شَعر","sha3r","Hair"
"2","جَمل","jaml","Camel"
"2","سَمَكة","samaka","Fish"
"2","كوَيس","kways","Good"
"2","فَهِم","fahim","To understand"
"2","اشْتَغَل","ashtaghal","To work"
"2","مَبسُوط","mabsooT","Happy"
"2","نام","nam","To sleep"
"2","إِيد","id","Hand / arm"
"2","زَعلان","za3lan","Sad...مِن"
"2","صَحِي","SaHi","To wake up"
"3","تَعبان","ta3ban","Tired"
"3","قام","qam","To stand up / wake up"
"3","نَعسان","na3san","Sleepy"
"3","قَعَد","qa3ad","To sit down"
"3","أُصبِع","ooSbi3","Finger"
"3","زَهقان","zahqan","Bored...مِن"
"3","اشْتَرى","ashtara","To buy"
"3","رِجْل","rijl","Leg / foot"
"3","عَلَى","3alaa","On"
"3","جَوعان","jaw3an","Hungry"
"3","باع","ba3","To sell"
"3","وَقِف","waqif","To stand"
"3","عَ","3a","On (abbreviation of على)"
"3","شَبعان","shab3an","Full"
"3","مَشى","masha","To walk"
"3","ظَلّ","Zall","To stay / remain"
"3","عَطشان","3aTshan","Thirsty"
"3","بَقِي","baqi","To stay / remain"
"3","بِ","bi","In / Inside"
"3","حَسّ","Hass","To feel"
"3","إِلى","ila","To / for / of / by"
"3","احْتاج","aHtaj","To need"
"3","ل","l","To / for / of / by"
"3","اتَّصَل","attaSal","To contact"
"3","قَدم","qadm","foot"
"3","ضَحِك","DaHik","To laugh at"
"3","شَكى","shaka","To complain"
"3","انْبَسَط","anbasaT","To enjoy"
"3","دَخَل","dakhal","To enter"
"3","خَرَج","kharaj","To exit"
"3","صام","Sam","To fast"
"3","ساعَد","sa3ad","To help"
"3","قَلب","qalb","Heart"
"3","لاقَى","laqaa","To find"
"3","مَدينة","madeena","City"
"3","شارِع","shari3","Street"
"3","هون","hoon","Here"
"3","مَركِز","markiz","Center"
"3","دَرج","darj","stairs"
"3","هُناك","hoonak","There"
"3","أسوَد","aswad","Black"
"3","أبيَض","abyaD","White"
"3","أزرَق","azraq","Blue"
"3","أخضَر","akhDar","Green"
"3","حارة","Hara","Neighbourhood"
"3","أحمَر","aHmar","Red"
"3","أصفَر","aSfar","Yellow"
"3","بِنّي","binnee","Brown"
"3","مَطعَم","maT3am","Restaurant"
"3","فُندُق","foondooq","Hotel"
"4","غُرفة","ghoorfa","room"
"4","بُرتُقالي","boortooqalee","Orange"
"4","محَطة","mHaTa","Station"
"4","مَسجِد","masjid","Mosque"
"4","جامِع","jami3","Mosque"
"4","دُكّان","dookkan","Small shop"
"4","اليوم","il-eeoom","Today"
"4","مبَارِح","mbariH","Yesterday"
"4","بُكرة","bookra","Tomorrow"
"4","فُندُق","foondooq","Hotel"
"4","بَنك","bank","Bank"
"4","مَخبَز","makhbaz","Bakery"
"4","مُستَشفى","moostashfa","Hospital"
"4","جامِعة","jami3a","University"
"4","نادي","nadee","Gym"
"4","مَطار","maTar","airport"
"4","مَصنَع","maSna3","Factory"
"4","قَبيح","qabeeH","Ugly"
"4","وِسخ","wiskh","Dirty"
"4","مَكسور","maksoor","Broken"
"4","بُرج","boorj","Tower"
"4","جِسر","jisr","Bridge"
"4","بِدّ","bidd","To want"
"4","عِند","3ind","To have"
"4","أنا","ana","I / me"
"4","حَديقة","Hadeeqa","Park"
"4","إنتَ","inta","You (m.)"
"4","إنتِ","inti","You (f.)"
"4","إنتو","intoo","You (pl.)"
"4","آي","aaee","تي ام ATM"
"4","تي","tee","آي  ام ATM"
"4","ام","am","آي تي  ATM"
"4","إحنا","iHna","We"
"4","هُوَّ","hooa","He"
"4","هِيَّ","hia","She"
"4","هُمَّ","hoomma","They"
"4","ـــِي","i","...  My"
"4","ـــَك","ak","...  Your (m.)"
"4","إشارة","ishara","Sign"
"4","ـــِك","ik","...  Your (f.)"
"4","ـــكُم","koom","...  Your (pl.)"
"4","ـــنا","na","...  Our"
"4","ـــُه","ooh","...  His"
"4","ـــها","ha","...  Her"
"4","زبالة","zbala","Trash, garbage"
"4","ـــهُم","hoom","...  Their"
"4","ـــني","nee","...  Me"
"4","ـــَك","ak","...  You (m.)"
"4","ـــِك","ik","...  You (f.)"
"4","ـــكُم","koom","...  You (pl.)"
"4","ـــنا","na","...  Us"
"4","ـــُه","ooh","...  Him"
"5","ـــها","ha","...  Her"
"5","ـــهُم","hoom","...  Them"
"5","الكُلّ","il-kooll","Everyone"
"5","فاضي","faDee","Empty"
"5","مَليان","maleean","Full"
"5","بَكير","bakeer","Early"
"5","بَدري","badree","Early"
"5","مُتأخِر","mootakhir","Late"
"5","حَلو","Haloo","Sweet"
"5","مَلابِس","malabis","clothes"
"5","حامِض","HamiD","Sour"
"5","أواعي","aooa3ee","clothes"
"5","مُرّ","moorr","Bitter"
"5","مالِح","maliH","Salty"
"5","جَكَيت","jakayt","jacket"
"5","حَرّ","Harr","Spicy"
"5","قَميص","qameeS","shirt"
"5","زَاكي","zakee","Tasty"
"5","بَنَطلون","banaTloon","Trousers"
"5","كيف","keef","How?"
"5","مين","meen","Who?"
"5","شو","shoo","What?"
"5","أيمتى","aeemta","When?"
"5","وَين","wayn","Where?"
"5","فُستان","foostan","dress"
"5","أيش","aeesh","What?"
"5","أيّ","aeeee","Which, what?"
"5","مواصلات","mooaSlat","public transportation"
"5","نَظّارات","naZZarat","Glasses, spectacles"
"5","طائية","Ta2eea","Hat"
"5","بَسْكَلِيْتّ","baskalitt","bicycle"
"5","موتوسيكل","mootooseekl","motorcycle"
"5","سَفينة","safeena","ship"
"5","ثَانِيِّة","thaniia","Second"
"5","دَقِيقة","daqiqa","Minute"
"5","ساعة","sa3a","Hour"
"5","يُوم","yoom","Day"
"5","أُسبُوع","oosboo3","Week"
"5","شَهِر","shahir","Month"
"5","سَنة","sana","Year"
"5","مبارِح","mbariH","Yesterday"
"5","أوَّل","aooooal","مْبارِح The day before yesterday"
"5","مْبارِح","mbariH","أوَّل  The day before yesterday"
"5","اليوم","il-eeoom","Today"
"5","بُكرَا","bookra","Tomorrow"
"5","بَعد","ba3d","بُكرا The day after tomorrow"
"5","بُكرا","bookra","بَعد  The day after tomorrow"
"5","صُبح","SoobH","Morning"
"5","مَسا","masa","Evening"
"5","لَيل","layl","Nighttime"
"5","لَيلة","layla","Night"
"5","المَسَا","il-masa","This evening"
"6","بَيت","bayt","House"
"6","دَار","dar","Home"
"6","باب","bab","Door"
"6","كُرسي","koorsee","Chair"
"6","فُرن","foorn","Oven"
"6","مِفتاح","miftaH","Key"
"6","الأحَد","il-aHad","Sunday"
"6","الإتنَين","il-itnayn","Monday"
"6","التَلاتة","it-talata","Tuesday"
"6","الأربِعاء","il-arbi3a2","Wednesday"
"6","الخَميس","il-khamees","Thursday"
"6","تلفزيون","tlfzeeoon","Television"
"6","الجُمعة","il-joom3a","Friday"
"6","السَبت","is-sabt","Saturday"
"6","تَخت","takht","Bed"
"6","حَمّام","Hammam","Bathroom"
"6","عَيلِة","3aylia","Family"
"6","أهِل","ahil","Family / people"
"6","إِمّ","imm","Mother"
"6","أَب","ab","Father"
"6","وَلَد","walad","Boy"
"6","إِبِن","ibin","Son"
"6","بِنت","bint","Daughter, woman"
"6","شَقّة","shaqqa","Flat; appartment"
"6","أُخت","ookht","Sister"
"6","أَخ","akh","Brother"
"6","مَطبَخ","maTbakh","Kitchen"
"6","ولاد","wlad","Children"
"6","زُوج","zooj","Husband (Often pronounced جوز)"
"6","زُوجة","zooja","Wife"
"6","مَقهى","maqha","Cafe, coffee shop"
"6","فطور","fToor","Breakfast"
"6","غدا","ghda","Lunch"
"6","عشا","3sha","Dinner"
"6","شوربة","shoorba","Soup"
"6","قَهوة","qahooa","Coffee"
"6","شاي","shaee","Tea"
"6","مَي","may","Water"
"6","حَليب","Haleeb","Milk"
"6","سَمَك","samak","Fish"
"6","لَحمة","laHma","Meat"
"6","زَيت","zayt","Oil"
"6","زَيتون","zaytoon","Olives"
"6","لوز","looz","Almonds"
"6","رُزّ","roozz","Rice"
"6","سُكَّر","sookkar","Sugar"
"6","مَلح","malH","Salt"
"6","خُبز","khoobz","Bread"
"6","جِبنة","jibna","Cheese"
"6","لَبن","labn","Yoghurt"
"7","بَيض","bayD","Egg"
"7","فَواكي","fawakee","Fruit"
"7","تُفّاح","tooffaH","Apple"
"7","موز","mooz","Banana"
"7","لَيمون","laymoon","Lemon"
"7","بَطّيخ","baTTeekh","Watermelon"
"7","تَين","tayn","Figs"
"7","خُضَر","khooDar","Vegetables"
"7","بَطاطا","baTaTa","Potato"
"7","جِزر","jizr","Carrot"
"7","بَصل","baSl","Onion"
"7","تومة","tooma","Garlic"
"7","فِنجان","finjan","Cup"
"7","زَهِر","zahir","Cauliflower"
"7","كاسة","kasa","Drinking glass"
"7","بَندورة","bandoora","Tomato"
"7","صَحن","SaHn","Plate"
"7","دُكتور","dooktoor","Doctor"
"7","وَجع","waj3","Pain"
"7","شَمس","shams","Sun"
"7","قَمر","qamr","Moon"
"7","شَجَرة","shajara","Tree"
"7","وَقت","waqt","Time"
"7","وَرد","ward","Flower"
"7","تاكسي","taksee","Taxi"
"7","سَيارة","sayara","Car"
"7","فَصل","faSl","Season (time of year)"
"7","رَبيع","rabee3","Spring"
"7","باص","baS","Bus"
"7","صَيف","Sayf","Summer"
"7","خَريف","khareef","Autumn"
"7","شِتا","shita","Winter"
"7","طَيارة","Tayara","Aeroplane"
"7","صِفر","Sifr","Zero"
"7","واحَد","waHad","One"
"7","إتنِين","itnin","Two"
"7","تَلاتة","talata","Three"
"7","أَربَعة","arba3a","Four"
"7","خَمسة","khamsa","Five"
"7","سِتّة","sitta","Six"
"7","سَبعة","sab3a","Seven"
"7","تَمانِية","tamania","Eight"
"7","تِسعة","tis3a","Nine"
"7","عَشرة","3ashra","Ten"
"7","مَرة","mara","Woman"
"7","رَجُل","rajool","Man"
"7","ناس","nas","People"
"7","لَعِب","la3ib","To play"
